Store Number,Address,City,State,Zip Code,Phone Number,Store Hours,Gas,Diesel,Latitude,Longitude,Accuracy
144,80 COUNTY ST,ATTLEBORO,MA,02703,(508) 226-0121,Open 24 hours,TRUE,,41.9426506,-71.2866934,STREET_ADDRESS: RANGE_INTERPOLATED
145,134 KING STREET,NORTHAMPTON,MA,01060,(413) 586-7543,Open 24 hours,TRUE,FALSE,42.324116,-72.6328162,STREET_ADDRESS: RANGE_INTERPOLATED
150,246 MANSFIELD AVE,NORTON,MA,02766,(508) 285-7129,Open 24 hours,TRUE,FALSE,41.990707,-71.211124,STREET_ADDRESS: ROOFTOP
156,37 MONTCALM STREET,CHICOPEE,MA,01020,(413) 534-8469,5 AM - 12 AM,TRUE,FALSE,42.202278,-72.5806675,STREET_ADDRESS: RANGE_INTERPOLATED
162,376 RIVER ST,FITCHBURG,MA,01420,(978) 345-7436,Open 24 hours,TRUE,FALSE,42.5817667,-71.8215919,STREET_ADDRESS: RANGE_INTERPOLATED
163,10 S MAIN ST RTE 9,LEICESTER,MA,01524,(508) 892-9709,Open 24 hours,TRUE,FALSE,42.269357,-72.200446,ROUTE: GEOMETRIC_CENTER
164,2 MAIN STREET,SOUTH GRAFTON,MA,01560,(508) 839-2632,5 AM - 12 AM,TRUE,FALSE,42.176871,-71.681224,STREET_ADDRESS: ROOFTOP
166,502 WASHINGTON ST.,AUBURN,MA,01501,(508) 721-9560,Open 24 hours,TRUE,FALSE,42.1870373,-71.8344534,STREET_ADDRESS: RANGE_INTERPOLATED
167,794 SPRINGFIELD ST,FEEDING HILLS,MA,01030,(413) 789-7991,5 AM - 12 AM,TRUE,FALSE,42.0755259,-72.6557002,STREET_ADDRESS: RANGE_INTERPOLATED
170,573 KELLEY BOULEVARD,NORTH ATTLEBORO,MA,02760,(508) 643-3607,5 AM - 12 AM,TRUE,FALSE,42.0079972,-71.3029275,STREET_ADDRESS: RANGE_INTERPOLATED
173,"16 WESTFIELD RD,POBOX437",RUSSELL,MA,01071,(413) 862-3672,5 AM - 12 AM,TRUE,FALSE,42.189127,-72.85901,STREET_ADDRESS: ROOFTOP
176,20 MECHANIC ST,FOXBORO,MA,02035,(508) 698-0718,5 AM - 11 PM,TRUE,FALSE,42.0661488,-71.2480622,STREET_ADDRESS: RANGE_INTERPOLATED
177,BX 502/RT 110 & 5 CORNERS,LANCASTER,MA,01523,(978) 365-6229,5 AM - 11 PM,TRUE,FALSE,42.4556452,-71.6731242,LOCALITY: APPROXIMATE
178,479 ELECTRIC AVE,FITCHBURG,MA,01420,(978) 342-1597,Open 24 hours,TRUE,FALSE,42.5675359,-71.81368,STREET_ADDRESS: ROOFTOP
186,107 RUSSELL ST PO BOX 193,HADLEY,MA,01035,(413) 584-4756,Open 24 hours,TRUE,FALSE,42.3419556,-72.5946272,STREET_ADDRESS: RANGE_INTERPOLATED
187,30 CHAUNCEY ST,MANSFIELD,MA,02048,(508) 261-7857,5 AM - 12 AM,TRUE,FALSE,42.0323459,-71.216417,STREET_ADDRESS: ROOFTOP
188,150 COMMONWEALTH AVE.,NORTH ATTLEBORO,MA,02763,(508) 643-3148,Open 24 hours,TRUE,FALSE,41.9699681,-71.3113706,STREET_ADDRESS: ROOFTOP
190,ONE MAIN STREET,BLACKSTONE,MA,01504,(508) 876-9031,5 AM - 12 AM,TRUE,FALSE,42.0182067,-71.5549857,ROUTE: GEOMETRIC_CENTER
191,180 W. MAIN STREET,DUDLEY,MA,01571,(508) 943-0693,5 AM - 12 AM,TRUE,FALSE,42.0413681,-71.9101032,STREET_ADDRESS: RANGE_INTERPOLATED
192,1289 MAIN STREET,LEOMINSTER,MA,01453,(978) 345-4391,Open 24 hours,TRUE,,42.5656097,-71.7472833,STREET_ADDRESS: ROOFTOP
194,"114 MAIN ST, PO BOX 608",LANCASTER,MA,01561,(978) 368-7807,5 AM - 12 AM,TRUE,FALSE,42.4392629,-71.687127,STREET_ADDRESS: ROOFTOP
195,1061 MEMORIAL DRIVE,CHICOPEE,MA,01020,(413) 593-1757,5 AM - 12 AM,TRUE,FALSE,42.1870185,-72.5774017,STREET_ADDRESS: RANGE_INTERPOLATED
197,115 MENDON STREET,HOPEDALE,MA,01747,(508) 473-3792,6 AM - 10 PM,TRUE,FALSE,42.1264531,-71.5368315,STREET_ADDRESS: RANGE_INTERPOLATED
198,130 COLLEGE HWY & RT10,SOUTHAMPTON,MA,01073,(413) 527-3392,5 AM - 12 AM,TRUE,FALSE,42.2521667,-72.6992339,INTERSECTION: APPROXIMATE
199,1455 FALL RIVER AVENUE,SEEKONK,MA,02771,(508) 336-4801,Open 24 hours,TRUE,FALSE,41.786806,-71.317396,STREET_ADDRESS: ROOFTOP
200,463 CENTER ST,LUDLOW,MA,01056,(413) 547-6693,Open 24 hours,TRUE,FALSE,42.170139,-72.480233,STREET_ADDRESS: ROOFTOP
201,837 SUFFIELD STREET,AGAWAM,MA,01001,(413) 789-7434,5 AM - 12 AM,TRUE,FALSE,42.0610368,-72.6321984,STREET_ADDRESS: RANGE_INTERPOLATED
202,798 CAREW ST,SPRINGFIELD,MA,01104,(413) 827-8013,Open 24 hours,TRUE,FALSE,42.125911,-72.584099,STREET_ADDRESS: ROOFTOP
203,200 SOUTHBRIDGE RD,NORTH OXFORD,MA,01537,(508) 721-7849,Open 24 hours,TRUE,FALSE,42.172613,-71.880219,STREET_ADDRESS: ROOFTOP
208,91-93 W. MAIN STREET,HOPKINTON,MA,01748,(508) 435-5929,Open 24 hours,TRUE,FALSE,42.216459,-71.542096,STREET_ADDRESS: ROOFTOP
211,514 BELMONT AVE,SPRINGFIELD,MA,01108,(413) 746-2007,Open 24 hours,TRUE,FALSE,42.0864159,-72.5594168,STREET_ADDRESS: RANGE_INTERPOLATED
212,69 MAIN ST,WESTFIELD,MA,01085,(413) 572-0973,Open 24 hours,TRUE,FALSE,42.1205307,-72.7461522,STREET_ADDRESS: RANGE_INTERPOLATED
213,320 EAST ST,LUDLOW,MA,01056,(413) 547-2913,Open 24 hours,TRUE,FALSE,42.159225,-72.473753,STREET_ADDRESS: ROOFTOP
214,560 MAIN ST,MEDFIELD,MA,02052,(508) 359-6991,6 AM - 10 PM,TRUE,FALSE,42.185312,-71.3097265,STREET_ADDRESS: RANGE_INTERPOLATED
217,263 GRAFTON STREET,WORCESTER,MA,01604,(508) 755-7369,Open 24 hours,TRUE,,42.257605,-71.789131,STREET_ADDRESS: ROOFTOP
221,1 CHESTNUT ST,CLINTON,MA,01510,(978) 368-3532,5 AM - 12 AM,TRUE,FALSE,42.4098041,-71.6814359,STREET_ADDRESS: ROOFTOP
223,220 PLEASANT STREET,ATTLEBORO,MA,02703,(508) 223-3369,5 AM - 12 AM,TRUE,FALSE,41.9509365,-71.2735993,STREET_ADDRESS: RANGE_INTERPOLATED
226,433 SOUTH MAIN STREET,SHARON,MA,02067,(781) 793-0112,6 AM - 10 PM,TRUE,FALSE,42.106201,-71.204464,STREET_ADDRESS: ROOFTOP
1104,278 COWESSETT AVE,WEST WARWICK,RI,02893,(401) 823-1947,Open 24 hours,TRUE,FALSE,41.685295,-71.506051,STREET_ADDRESS: ROOFTOP
1108,41 NORTH MAIN ST,JAMESTOWN,RI,02835,(401) 423-2507,5 AM - 12 AM,TRUE,FALSE,41.5455284,-71.3750117,ROUTE: GEOMETRIC_CENTER
1120,261 S. MAIN STREET,WOONSOCKET,RI,02895,(401) 767-3904,5 AM - 12 AM,TRUE,,41.997779,-71.520652,STREET_ADDRESS: ROOFTOP
1121,1860 MAIN RD,TIVERTON,RI,02878,(401) 624-7175,5 AM - 12 AM,,FALSE,41.624929,-71.212873,STREET_ADDRESS: ROOFTOP
1127,275 LEGRIS AVE,WEST WARWICK,RI,02893,(401) 828-1386,Open 24 hours,TRUE,,41.6964252,-71.5030673,STREET_ADDRESS: RANGE_INTERPOLATED
1130,69 FRIENDSHIP ST,WESTERLY,RI,02891,(401) 348-6670,5 AM - 12 AM,,FALSE,41.383453,-71.825356,STREET_ADDRESS: ROOFTOP
1134,909 BOSTON NECK RD.,NARRAGANSETT,RI,02882,(401) 782-1896,5 AM - 12 AM,,FALSE,41.475757,-71.4345869,STREET_ADDRESS: ROOFTOP
1150,125 BROADWAY,NEWPORT,RI,02840,(401) 841-5207,5 AM - 12 AM,,FALSE,41.493535,-71.30933,STREET_ADDRESS: ROOFTOP
1205,704 MAIN ST,WEST WARWICK,RI,02893,(401) 828-3294,Open 24 hours,TRUE,FALSE,41.722617,-71.533222,STREET_ADDRESS: ROOFTOP
1206,823 SMITHFIELD AVE,LINCOLN,RI,02865,(401) 729-8388,5 AM - 12 AM,TRUE,FALSE,41.881288,-71.415213,STREET_ADDRESS: ROOFTOP
1209,66 MARKET ST,WARREN,RI,02885,(401) 245-5989,5 AM - 12 AM,TRUE,FALSE,41.730948,-71.280528,STREET_ADDRESS: ROOFTOP
1210,1297 BROAD ST,PROVIDENCE,RI,02905,(401) 461-6349,5 AM - 12 AM,TRUE,FALSE,41.79126,-71.4065959,STREET_ADDRESS: ROOFTOP
1214,478 BROAD STREET,CENTRAL FALLS,RI,02863,(401) 726-8244,5 AM - 12 AM,TRUE,FALSE,41.8860219,-71.3874419,STREET_ADDRESS: ROOFTOP
1215,865 POINT JUDITH RD,NARRAGANSETT,RI,02882,(401) 789-1927,Open 24 hours,TRUE,FALSE,41.38829,-71.485943,STREET_ADDRESS: ROOFTOP
1217,5687 POST RD,EAST GREENWICH,RI,02818,(401) 885-9471,5 AM - 12 AM,TRUE,FALSE,41.64101,-71.468884,STREET_ADDRESS: ROOFTOP
1218,1812 E MAIN RD,PORTSMOUTH,RI,02871,(401) 682-1648,5 AM - 12 AM,TRUE,FALSE,41.5805239,-71.252823,STREET_ADDRESS: ROOFTOP
1219,1600 NOOSENECK HILL RD,COVENTRY,RI,02816,(401) 826-7927,Open 24 hours,TRUE,FALSE,41.673387,-71.594721,STREET_ADDRESS: ROOFTOP
1224,1933 MINERAL SPRING AVE,NORTH PROVIDENCE,RI,02904,(401) 233-9246,5 AM - 12 AM,TRUE,FALSE,41.860416,-71.469245,STREET_ADDRESS: ROOFTOP
1225,350 NORTH BROADWAY,EAST PROVIDENCE,RI,02916,(401) 435-5245,5 AM - 12 AM,,FALSE,41.831702,-71.36104,STREET_ADDRESS: ROOFTOP
1227,2812 PAWTUCKET AVE,EAST PROVIDENCE,RI,02915,(401) 434-2245,Open 24 hours,TRUE,FALSE,41.797763,-71.363121,STREET_ADDRESS: ROOFTOP
1234,3377 POST RD,WARWICK,RI,02886,(401) 738-7896,5 AM - 12 AM,TRUE,FALSE,41.697241,-71.459838,STREET_ADDRESS: ROOFTOP
1236,1291 WARWICK AVE,WARWICK,RI,02888,(401) 463-8810,5 AM - 12 AM,TRUE,FALSE,41.741046,-71.408304,STREET_ADDRESS: ROOFTOP
1237,"3166 E MAIN RD, PO BX 214",PORTSMOUTH,RI,02871,(401) 682-1733,6 AM - 11 PM,TRUE,FALSE,41.614693,-71.246487,STREET_ADDRESS: ROOFTOP
1238,609 KILLINGLY ST,JOHNSTON,RI,02919,(401) 861-1094,Open 24 hours,TRUE,FALSE,41.827688,-71.472123,STREET_ADDRESS: ROOFTOP
1247,785 TIOGUE AVE,COVENTRY,RI,02816,(401) 827-6357,Open 24 hours,TRUE,FALSE,41.6819909,-71.563844,STREET_ADDRESS: ROOFTOP
1249,921 CRANSTON STREET,CRANSTON,RI,02920,(401) 464-8133,5 AM - 12 AM,TRUE,FALSE,41.801919,-71.445551,STREET_ADDRESS: ROOFTOP
1250,436 KNOTTY OAK RD.,COVENTRY,RI,02816,(401) 821-8678,5 AM - 12 AM,TRUE,FALSE,41.708134,-71.557923,STREET_ADDRESS: ROOFTOP
1251,353 WATERMAN AVE,SMITHFIELD,RI,02917,(401) 233-7872,5 AM - 12 AM,,FALSE,41.8784272,-71.5010373,STREET_ADDRESS: RANGE_INTERPOLATED
1254,"PO BOX 354, 1175 MAIN ST",WYOMING,RI,02898,(401) 539-0107,Open 24 hours,TRUE,FALSE,41.513905,-71.698518,STREET_ADDRESS: ROOFTOP
1256,2064 SMITH STREET,NORTH PROVIDENCE,RI,02911,(401) 353-7265,5 AM - 12 AM,TRUE,FALSE,41.858105,-71.486261,STREET_ADDRESS: ROOFTOP
1257,3323 S COUNTY TRL,EAST GREENWICH,RI,02818,(401) 885-3750,5 AM - 12 AM,TRUE,FALSE,41.606651,-71.49443,STREET_ADDRESS: ROOFTOP
1259,129 GRANITE ST,WESTERLY,RI,02891,(401) 348-6683,5 AM - 12 AM,TRUE,FALSE,41.370648,-71.820689,STREET_ADDRESS: ROOFTOP
1262,"BOX 1139, RTE. 1A",CHARLESTOWN,RI,02813,(401) 364-0209,Open 24 hours,TRUE,FALSE,41.3909455,-71.6792008,POSTAL_CODE: APPROXIMATE
1263,390 METACOM AVE.,BRISTOL,RI,02809,(401) 254-1306,5 AM - 11 PM,TRUE,FALSE,41.679513,-71.259701,STREET_ADDRESS: ROOFTOP
1264,94 AQUIDECK AVENUE,MIDDLETOWN,RI,02842,(401) 841-8561,Open 24 hours,TRUE,FALSE,41.492151,-71.284592,STREET_ADDRESS: ROOFTOP
1265,193 DIVISION ST,PAWTUCKET,RI,02860,(401) 727-3214,5 AM - 12 AM,TRUE,FALSE,41.873573,-71.376515,STREET_ADDRESS: ROOFTOP
1274,302 NO MAIN ST BOX 1158,SLATERSVILLE,RI,02876,(401) 762-4684,5 AM - 12 AM,TRUE,FALSE,42.0001124,-71.577588,POSTAL_CODE: APPROXIMATE
1275,3400 MENDON RD,CUMBERLAND,RI,02864,(401) 658-5015,5 AM - 12 AM,TRUE,FALSE,41.9771069,-71.459371,STREET_ADDRESS: ROOFTOP
1276,244 WASHINGTON ST,WEST WARWICK,RI,02893,(401) 827-0660,5 AM - 12 AM,TRUE,FALSE,41.7002529,-71.528302,STREET_ADDRESS: ROOFTOP
1279,659 RESERVOIR AVE,CRANSTON,RI,02910,(401) 946-9522,Open 24 hours,TRUE,FALSE,41.781371,-71.441584,STREET_ADDRESS: ROOFTOP
1280,751 HOPE ST,PROVIDENCE,RI,02906,(401) 521-3630,5 AM - 12 AM,TRUE,FALSE,41.84722,-71.395496,STREET_ADDRESS: ROOFTOP
1282,2643 HARTFORD AVE.,JOHNSTON,RI,02919,(401) 934-1513,Open 24 hours,TRUE,FALSE,41.8335859,-71.553641,STREET_ADDRESS: ROOFTOP
1284,99 FORTIN RD STE 1A,KINGSTON,RI,02881,(401) 792-9370,5 AM - 12 AM,,FALSE,41.4856089,-71.523705,SUBPREMISE: APPROXIMATE
1504,410 QUAKER ROAD,QUEENSBURY,NY,12804,(518) 792-6285,Open 24 hours,TRUE,FALSE,43.330576,-73.63638,STREET_ADDRESS: ROOFTOP
1505,1268 STATE ST,SCHENECTADY,NY,12304,(518) 382-1862,6 AM - 11 PM,TRUE,FALSE,42.7977617,-73.9236144,STREET_ADDRESS: RANGE_INTERPOLATED
1506,19 SPRING ST,SCHUYLERVILLE,NY,12871,(518) 695-4015,Open 24 hours,TRUE,FALSE,43.104126,-73.5802992,STREET_ADDRESS: RANGE_INTERPOLATED
1508,3805 MAIN STREET,WARRENSBURG,NY,12885,(518) 623-3739,Open 24 hours,TRUE,FALSE,43.4939419,-73.771472,STREET_ADDRESS: ROOFTOP
1510,1031 CRANE ST,SCHENECTADY,NY,12303,(518) 393-5539,6 AM - 11 PM,TRUE,FALSE,42.7980249,-73.9471728,STREET_ADDRESS: RANGE_INTERPOLATED
1511,222 MOHAWK AVE,SCOTIA,NY,12302,(518) 346-5537,Open 24 hours,TRUE,FALSE,42.82731,-73.96566,STREET_ADDRESS: ROOFTOP
1512,351 UPPER BROADWAY,FORT EDWARD,NY,12828,(518) 746-9062,5 AM - 12 AM,TRUE,FALSE,43.2670175,-73.5845597,LOCALITY: APPROXIMATE
1517,405 BLOOMINGROVE TPK,NEW WINDSOR,NY,12553,(845) 561-3075,5 AM - 12 AM,TRUE,,41.4643557,-74.0360012,STREET_ADDRESS: RANGE_INTERPOLATED
1518,77 ONTARIO ST,COHOES,NY,12047,(518) 235-2790,Open 24 hours,TRUE,FALSE,42.7729997,-73.6875091,STREET_ADDRESS: ROOFTOP
1520,1093 LOUDON ROAD,COHOES,NY,12047,(518) 782-0740,Open 24 hours,TRUE,FALSE,42.7833763,-73.744347,STREET_ADDRESS: RANGE_INTERPOLATED
1521,8427 MILLER HILL RD,SAND LAKE,NY,12153,(518) 674-0059,Open 24 hours,TRUE,FALSE,42.637595,-73.541571,STREET_ADDRESS: ROOFTOP
1524,499 N GREENBUSH RD,N. GREENBUSH,NY,12144,(518) 283-0092,Open 24 hours,TRUE,,42.657607,-73.692778,STREET_ADDRESS: ROOFTOP
1525,MAPLE AVE RTE 44 PO 5,MILLERTON,NY,12546,(518) 789-9060,Open 24 hours,TRUE,FALSE,41.9537035,-73.5106791,LOCALITY: APPROXIMATE
1527,77 SO. CENTRAL AVE.,MECHANICVILLE,NY,12118,(518) 664-7115,Open 24 hours,TRUE,FALSE,42.901006,-73.689798,STREET_ADDRESS: ROOFTOP
1528,2530 ALBANY ST,SCHENECTADY,NY,12304,(518) 382-1507,5 AM - 12 AM,TRUE,FALSE,42.783498,-73.912055,STREET_ADDRESS: ROOFTOP
1530,74 MAIN ST RTE 4,HUDSON FALLS,NY,12839,(518) 747-9376,Open 24 hours,TRUE,FALSE,43.3006281,-73.5859487,LOCALITY: APPROXIMATE
1534,625 PAWLING AVE,TROY,NY,12180,(518) 273-6736,Open 24 hours,TRUE,FALSE,42.7039574,-73.6583778,STREET_ADDRESS: ROOFTOP
1535,21 FEEDER STREET,HUDSON FALLS,NY,12839,(518) 746-1777,Open 24 hours,TRUE,FALSE,43.3101787,-73.5837073,STREET_ADDRESS: ROOFTOP
1540,1269 HIGHBRIDGE RD,ROTTERDAM,NY,12303,(518) 355-1008,5 AM - 12 AM,TRUE,FALSE,42.7694748,-73.9146972,STREET_ADDRESS: RANGE_INTERPOLATED
1541,"PO 1267,109 WINDERMERE AV",GREENWOOD LAKE,NY,10925,(845) 477-3851,Open 24 hours,TRUE,FALSE,41.2249655,-74.2920407,STREET_ADDRESS: RANGE_INTERPOLATED
1542,511 DUANESBURG RD,SCHENECTADY,NY,12306,(518) 356-5824,Open 24 hours,TRUE,,42.7868808,-73.9981765,STREET_ADDRESS: RANGE_INTERPOLATED
1556,63 GEORGE ST BOX 325,FORT ANN,NY,12827,(518) 639-4043,Open 24 hours,TRUE,FALSE,43.4142375,-73.4876124,LOCALITY: APPROXIMATE
1558,1286 STATE ROUTE 29,GREENWICH,NY,12834,(518) 692-9928,Open 24 hours,TRUE,FALSE,43.095754,-73.508442,STREET_ADDRESS: ROOFTOP
1559,"PO BOX 658, 236 MAIN ST",CAIRO,NY,12413,(518) 622-3957,Open 24 hours,TRUE,FALSE,42.2957068,-73.9940979,STREET_ADDRESS: RANGE_INTERPOLATED
1560,270 ROUTE 17K,NEWBURGH,NY,12550,(845) 567-4341,5 AM - 12 AM,TRUE,FALSE,41.5247999,-74.1198878,STREET_ADDRESS: RANGE_INTERPOLATED
1562,162 BROADWAY ST,PORT EWEN,NY,12466,(845) 331-1527,Open 24 hours,TRUE,FALSE,41.9075029,-73.9768126,STREET_ADDRESS: RANGE_INTERPOLATED
1564,38 BROOKSIDE AVENUE,CHESTER,NY,10918,(845) 469-1870,5 AM - 1 AM,TRUE,FALSE,41.3520295,-74.2746573,STREET_ADDRESS: RANGE_INTERPOLATED
1566,203 JEFFERSON AVENUE,CATSKILL,NY,12414,(518) 943-9233,5 AM - 12 AM,TRUE,FALSE,42.2310491,-73.8804161,STREET_ADDRESS: RANGE_INTERPOLATED
1567,"1046 KNDRHOOK ST,PO BX299",VALATIE,NY,12184,(518) 758-7172,Open 24 hours,TRUE,FALSE,42.4134168,-73.6731749,LOCALITY: APPROXIMATE
1569,260 WEST BRIDGE ST,CATSKILL,NY,12414,(518) 943-0566,Open 24 hours,TRUE,FALSE,42.2146232,-73.8810742,STREET_ADDRESS: RANGE_INTERPOLATED
1571,385 MANSION ST,WEST COXSACKIE,NY,12192,(518) 731-9893,Open 24 hours,TRUE,FALSE,42.3623621,-73.8285502,STREET_ADDRESS: RANGE_INTERPOLATED
1574,63 MILL HILL RD,WOODSTOCK,NY,12498,(845) 679-0034,Open 24 hours,TRUE,FALSE,42.039265,-74.11423,STREET_ADDRESS: ROOFTOP
1575,1075 STATE RTE 196,HUDSON FALLS,NY,12839,(518) 747-1133,Open 24 hours,TRUE,,43.3062214,-73.5631852,STREET_ADDRESS: RANGE_INTERPOLATED
1576,"PO BOX 303, RTE 32 & 81",GREENVILLE,NY,12083,(518) 966-4985,Open 24 hours,TRUE,FALSE,42.4153775,-74.0221384,INTERSECTION: APPROXIMATE
1578,103 MAPLE STREET,CORINTH,NY,12822,(518) 654-2639,Open 24 hours,TRUE,FALSE,43.245971,-73.833891,STREET_ADDRESS: ROOFTOP
1579,263 HUDSON ST,CORNWALL ON HUDSON,NY,12520,(845) 534-4458,6 AM - 11 PM,TRUE,FALSE,41.4448468,-74.0160032,STREET_ADDRESS: RANGE_INTERPOLATED
1582,75 MILTON AVENUE,BALLSTON SPA,NY,12020,(518) 884-8637,Open 24 hours,TRUE,FALSE,43.003189,-73.849198,STREET_ADDRESS: ROOFTOP
1583,2300 CURRY RD,ROTTERDAM,NY,12303,(518) 357-2724,Open 24 hours,TRUE,FALSE,42.7718559,-73.9484733,STREET_ADDRESS: RANGE_INTERPOLATED
1584,966 RTE. 9,QUEENSBURY,NY,12804,(518) 793-7451,Open 24 hours,TRUE,FALSE,43.3393592,-73.6807786,STREET_ADDRESS: RANGE_INTERPOLATED
1585,505 CAMPBELL AVENUE,TROY,NY,12180,(518) 271-9966,Open 24 hours,TRUE,FALSE,42.707536,-73.678506,STREET_ADDRESS: ROOFTOP
1586,356 EAST MAIN STREET,MIDDLETOWN,NY,10940,(845) 343-0419,5 AM - 12 AM,TRUE,FALSE,41.444923,-74.399022,STREET_ADDRESS: ROOFTOP
1587,1630 ROUTE 94,NEW WINDSOR,NY,12553,(845) 496-0308,6 AM - 12 AM,TRUE,FALSE,41.435443,-74.105374,STREET_ADDRESS: ROOFTOP
1590,451 GEYSER RD,BALLSTON SPA,NY,12020,(518) 885-3588,Open 24 hours,TRUE,FALSE,43.045501,-73.849806,STREET_ADDRESS: ROOFTOP
1591,179 BROADWAY ST,FORT EDWARD,NY,12828,(518) 747-8693,Open 24 hours,TRUE,FALSE,43.2768293,-73.5861209,ROUTE: GEOMETRIC_CENTER
1592,"ROUTE 9 & 9J, PO BOX 60",COLUMBIAVILLE,NY,12050,(518) 828-6844,5 AM - 12 AM,TRUE,FALSE,41.8361646,-73.9331508,ROUTE: GEOMETRIC_CENTER
1593,2002 E MAIN ST,AMENIA,NY,12501,(845) 373-4231,5 AM - 12 AM,TRUE,FALSE,41.8494226,-73.5571843,STREET_ADDRESS: RANGE_INTERPOLATED
1594,3205 MAIN ST RT22 BOX661,DOVER PLAINS,NY,12522,(845) 877-9053,5 AM - 12 AM,TRUE,FALSE,41.7412051,-73.5765151,LOCALITY: APPROXIMATE
1595,1351 ROUTE 9,CASTLETON,NY,12033,(518) 732-7601,Open 24 hours,TRUE,FALSE,42.514423,-73.679371,STREET_ADDRESS: ROOFTOP
1596,136 N MAIN STREET,GLOVERSVILLE,NY,12078,(518) 725-9773,Open 24 hours,TRUE,FALSE,43.054141,-74.342723,STREET_ADDRESS: ROOFTOP
1600,30 W. GRAND ST. BOX 451,PALATINE BRIDGE,NY,13428,(518) 673-5639,Open 24 hours,TRUE,FALSE,42.9105154,-74.5709069,ROUTE: GEOMETRIC_CENTER
1601,101 LAKE AVE.,LAKE LUZERNE,NY,12846,(518) 696-3344,Open 24 hours,TRUE,FALSE,43.312054,-73.834969,STREET_ADDRESS: ROOFTOP
1602,2 CHATHAM ST,NASSAU,NY,12123,(518) 766-7703,Open 24 hours,TRUE,FALSE,42.5157744,-73.6101757,STREET_ADDRESS: ROOFTOP
1603,191 BROADWAY,WHITEHALL,NY,12887,(518) 499-2341,Open 24 hours,TRUE,,43.546633,-73.405979,STREET_ADDRESS: ROOFTOP
1608,110 MAIN ST,QUEENSBURY,NY,12804,(518) 798-0934,Open 24 hours,TRUE,,43.297336,-73.67522,STREET_ADDRESS: ROOFTOP
1609,42 E MAIN ST,CAMBRIDGE,NY,12816,(518) 677-3783,Open 24 hours,TRUE,FALSE,43.027751,-73.3762244,STREET_ADDRESS: RANGE_INTERPOLATED
